balcony,price,no_of_bedrooms,basement,street,size,elevator,district,floor,material,status
Yes,334373,4,Yes,Pod Vachmajstrom,110,Yes,nove_mesto,bottom,other,refurbished
Yes,405353,4,Yes,Pod Vachmajstrom,140,Yes,nove_mesto,bottom,other,refurbished
Yes,198238,2,Yes,Pod Vachmajstrom,64,Yes,nove_mesto,other,other,refurbished
Yes,342046,4,Yes,Strážna,110,Yes,nove_mesto,other,other,refurbished
Yes,389011,4,Yes,Pod Vachmajstrom,106,Yes,nove_mesto,bottom,other,refurbished
Yes,297087,3,Yes,Pod Vachmajstrom,83,Yes,nove_mesto,bottom,other,refurbished
Yes,301085,3,Yes,Pod Vachmajstrom,90,Yes,nove_mesto,bottom,other,refurbished
Yes,362620,3,Yes,Pod Vachmajstrom,98,Yes,nove_mesto,bottom,other,refurbished
Yes,282807,2,Yes,Pod Vachmajstrom,73,Yes,nove_mesto,bottom,other,refurbished
Yes,350444,3,Yes,Pod Vachmajstrom,98,Yes,nove_mesto,other,base,refurbished
No,109900,1,Yes,Karadžičova,49,No,stare_mesto,other,brick,old
Yes,220000,4,No,Janka Alexyho,96,Yes,dubravka,other,brick,refurbished
Yes,315000,4,Yes,Lehockého,106,No,stare_mesto,other,brick,refurbished
No,104400,1,No,Kukučínova,45,No,nove_mesto,bottom,panel,partial_refurbishment
No,214600,2,No,Bajkalská,67,Yes,nove_mesto,other,brick,refurbished
Yes,59670,1,Yes,Bystrická,28,Yes,devinska_nova_ves,rest,other,refurbished
Yes,78030,2,Yes,Bystrická,40,Yes,devinska_nova_ves,rest,other,refurbished
Yes,118830,3,Yes,Bystrická,66,Yes,devinska_nova_ves,rest,other,refurbished
Yes,106000,3,No,Hornádska,70,Yes,podunajske_biskupice,other,panel,refurbished
Yes,140000,3,Yes,Exnárova,68,No,ruzinov,top,brick,partial_refurbishment
Yes,39900,1.5,No,Stavbárska,40,Yes,vrakuna,other,panel,partial_refurbishment
No,339900,3,Yes,Drotárska cesta,203,Yes,stare_mesto,top,brick,refurbished
Yes,161000,3,Yes,Vysoká,68,No,stare_mesto,bottom,brick,partial_refurbishment
No,124700,2,Yes,Mozartova,45,Yes,stare_mesto,other,panel,refurbished
No,410000,4,No,Lopúchová,150,Yes,nove_mesto,other,brick,refurbished
No,85500,2,Yes,Podunajská,34,Yes,vrakuna,bottom,brick,refurbished
Yes,160000,2,No,Béžova,67,Yes,petrzalka,top,brick,refurbished
Yes,281520,3,Yes,Drotárska cesta,79,Yes,stare_mesto,other,brick,refurbished
Yes,126000,3,Yes,Vígľašská,70,Yes,petrzalka,other,panel,partial_refurbishment
Yes,99000,2,No,Zaluhy,43,Yes,dubravka,other,panel,old
No,259900,3,No,Fraňa Kráľa,177,No,stare_mesto,bottom,brick,refurbished
Yes,215000,3,Yes,Slovanské nábrežie,100,No,devin,top,brick,refurbished
Yes,95000,1,No,Nobelova,39,Yes,nove_mesto,other,brick,refurbished
Yes,97000,2,Yes,Bieloruská,52,Yes,podunajske_biskupice,rest,panel,refurbished
No,85000,2,No,Podunajská,36,No,podunajske_biskupice,other,brick,refurbished
No,104000,2,No,Pri Šajbách,62,No,raca,other,brick,refurbished
Yes,110000,2,Yes,Bebravská,65,Yes,vrakuna,bottom,other,partial_refurbishment
No,182900,3,No,Šancová,83,Yes,stare_mesto,other,brick,refurbished
Yes,135000,2,No,Exnárova,57,No,ruzinov,other,panel,refurbished
Yes,340000,3,No,Záhradnícka,93,Yes,stare_mesto,other,brick,refurbished
No,399000,4,Yes,Palisády,126,No,stare_mesto,bottom,brick,refurbished
Yes,255000,3,No,Staré Grunty,84,Yes,karlova_ves,other,brick,refurbished
Yes,116999,3,Yes,Bebravská,61,Yes,vrakuna,bottom,brick,refurbished
No,77000,2,Yes,Latorická,47,No,podunajske_biskupice,top,brick,refurbished
Yes,149900,3,Yes,Gallayova,66,Yes,dubravka,other,panel,refurbished
Yes,99999,3,No,Rybničná 61/B,75,Yes,vajnory,other,panel,refurbished
Yes,147900,2,No,Vajnorská,74,No,nove_mesto,other,brick,partial_refurbishment
No,71700,1,Yes,Nobelova,28,Yes,nove_mesto,other,brick,refurbished
No,109900,3,No,Rovniankova,76,No,petrzalka,bottom,panel,old
No,131000,2,Yes,Budyšínska,45,No,nove_mesto,other,brick,old
Yes,267000,3,Yes,Špitálska,78,Yes,stare_mesto,other,brick,refurbished
Yes,99000,1.5,Yes,Topoľčianska,36,Yes,petrzalka,other,panel,refurbished
Yes,127000,2,Yes,Hubeného,56,Yes,raca,bottom,brick,refurbished
Yes,379990,4,No,Stromová,210,Yes,nove_mesto,top,brick,refurbished
Yes,249990,3,No,Na pažiti,94,Yes,nove_mesto,other,brick,refurbished
Yes,105000,3,No,Estónska,69,No,podunajske_biskupice,bottom,panel,partial_refurbishment
Yes,86300,2,Yes,Údernícka,43,Yes,petrzalka,bottom,base,refurbished
Yes,120251,3,Yes,Údernícka,60,Yes,petrzalka,bottom,base,refurbished
Yes,96302,2,Yes,Údernícka,51,Yes,petrzalka,other,base,refurbished
No,128000,2,Yes,neuvedená,55,Yes,nove_mesto,bottom,brick,refurbished
No,65000,1,Yes,Bieloruská,31,Yes,podunajske_biskupice,top,panel,refurbished
Yes,78000,1,No,Bujnákova,33,No,dubravka,other,panel,old
No,130000,2,No,Hollého,38,Yes,stare_mesto,other,brick,refurbished
No,130000,1.5,No,Hollého,38,Yes,stare_mesto,other,brick,refurbished
No,113000,2,Yes,Čiližská,70,Yes,vrakuna,other,panel,refurbished
Yes,299000,3,Yes,Jančova,97,No,stare_mesto,other,brick,refurbished
Yes,164900,2,Yes,Martinčekova,73,Yes,ruzinov,other,brick,refurbished
No,93000,3,No,Šancova,59,Yes,stare_mesto,other,brick,partial_refurbishment
