id,price,area,listed,price_per_sqm,street,no_of_bedrooms,url_saved,district
6527775,219777,110,26.6.2018,2016,Murgašova,3,https://www.topreality.sk/predaj-priestranny-3i-byt-v-starom-meste-ba-i-r6527775.html,Bratislava I
6527708,19e4,40,26.6.2018,NA,Vlčie hrdlo,NA,https://www.topreality.sk/2-garsonka-s-balkonom-vlcie-hrdlo-40-m2-59-900-r6527708.html,Bratislava II
6093917,112500,107,26.6.2018,1775,Drotárska cesta,3,https://www.topreality.sk/predane-ba-stare-mesto-3-izbovy-byt-tehla-dve-loggie-107-m2-slusny-povodny-stav-lokalita-pri-horskom-parku-ihned-volny-190-000-eur-r6093917.html,Bratislava I
5622994,73900,65,26.6.2018,1730,Čiližská,3,https://www.topreality.sk/predane-bratislava-predam-jedinecny-trojizbak-za-skvelu-cenu-112-500-eur-volny-ihned-r5622994.html,Bratislava II
6526536,79e4,145,25.6.2018,5448,neuvedená,3,https://www.topreality.sk/bella-real-estate-ponuka-na-predaj-3-izb-byt-s-terasou-s-vyhladom-na-celu-bratislavu-v-novej-vile-na-slavine-r6526536.html,Bratislava I
6526499,179e3,76,25.6.2018,2355,Záhrebská,3,https://www.topreality.sk/predaj-3izb-byt-ul-zahrebska-stare-mesto-3d-virtualna-prehliadka-r6526499.html,Bratislava I
6526301,165e3,67,25.6.2018,2462,Karadžičova,3,https://www.topreality.sk/predame-3-izb-byt-vo-vybornej-lokalite-na-karadzicovej-ulici-v-starom-meste-r6526301.html,Bratislava I
6475915,88e3,35,25.6.2018,2514,Nová Rožňavská ulica,1,https://www.topreality.sk/ponukame-na-predaj-pekny-1-izbovy-byt-s-velkou-lodziou-na-ulici-nova-roznavska-r6475915.html,Bratislava III
6304285,441500,155,25.6.2018,2848,Štefánikova,4,https://www.topreality.sk/ponukame-na-predaj-4-5-izb-byt-s-vysokymi-stropmi-v-historickom-bytovom-dome-r6304285.html,Bratislava I
6213488,125444,57,25.6.2018,2200,Hutnícka,2,https://www.topreality.sk/rezervovane-ponukame-na-predaj-2-izb-dvojpodlazny-byt-v-nadstavbe-na-hutnickej-ulici-v-devine-r6213488.html,Bratislava IV
5985718,177500,61,25.6.2018,2909,Obchodná,2,https://www.topreality.sk/ponukame-na-predaj-2-izbovy-byt-na-obchodnej-ulici-v-starom-meste-r5985718.html,Bratislava I
5672440,325e3,150,25.6.2018,2166,Paulínyho,4,https://www.topreality.sk/ponukame-na-predaj-priestranny-byt-v-centre-mesta-na-hviezdoslavovom-namesti-r5672440.html,Bratislava I
6525334,135e3,74,25.6.2018,1824,Švabinského,3,https://www.topreality.sk/predam-3-izb-byt-na-svabinskeho-20-oproti-city-university-r6525334.html,Bratislava V
6525328,377047,112,24.6.2018,3366,Drotárska cesta,4,https://www.topreality.sk/luxusny-4-izb-byt-v-novostavbe-na-ul-drotarska-cesta-v-blizkosti-horskeho-parku-r6525328.html,Bratislava I
6525189,NA,250,24.6.2018,4400,neuvedená,4,https://www.topreality.sk/bella-real-estate-ponuka-na-predaj-4izb-byt-s-terasou-s-vyhladom-na-celu-bratislavu-v-novej-vile-na-slavine-r6525189.html,Bratislava I
6525064,279e3,97,24.6.2018,2906,Staré Grunty,4,https://www.topreality.sk/vas-domov-v-cubicone-mlynska-dolina-stare-grunty-karlova-ves-4-izby-2-kupelne-2-balkony-slnecna-orientacia-a-parkovacie-statie-v-garazi-pod-bytovym-domom-r6525064.html,Bratislava IV
6524900,39e4,164,23.6.2018,2378,neuvedená,3,https://www.topreality.sk/bella-real-estate-ponuka-na-predaj-stylovy-3izb-byt-90m2-70m2-v-novej-vile-na-slavine-r6524900.html,Bratislava I
6524717,133e3,55,23.6.2018,2418,Fedinova,2,https://www.topreality.sk/top-lokalita-2i-byt-loggiou-ul-fedinova-ba-petrzalka-r6524717.html,Bratislava V
6524341,389990,130,23.6.2018,2999,Majerníkova,4,https://www.topreality.sk/bella-real-estate-ponuka-na-predaj-luxusny-4izb-byt-s-terasou-v-novostavbe-na-dlhych-dieloch-r6524341.html,Bratislava IV
6524303,203900,91,22.6.2018,2240,Tupého,3,https://www.topreality.sk/reality-holding-ponuka-3-izbovy-byt-bratislava-nove-mesto-tupeho-na-predaj-top-ponuka-r6524303.html,Bratislava III
6524302,333e3,161,22.6.2018,2068,Matejkova,3,https://www.topreality.sk/reality-holding-ponuka-na-predaj-3-izbovy-byt-bratislava-karlova-ves-matejkova-top-ponuka-r6524302.html,Bratislava IV
6524282,135e3,68,22.6.2018,1985,Považanova,2,https://www.topreality.sk/2-izbovy-byt-v-ba-dubravka-68m-na-predaj-r6524282.html,Bratislava IV
6524100,99e3,42,22.6.2018,2357,Trenčianska,1,https://www.topreality.sk/1-izbovy-byt-v-dobrej-lokalite-na-rekonstrukciu-rezervovany-r6524100.html,Bratislava II
6524060,199400,110,22.6.2018,1812,Staré Mesto (Bratislava I),3,https://www.topreality.sk/na-predaj-v-starom-meste-velky-3-izbovy-slnecny-byt-murgasova-ulica-r6524060.html,Bratislava I
6523969,154990,68,22.6.2018,2279,Votrubova,2,https://www.topreality.sk/2i-byt-v-ziadanej-lokalite-ruzinov-nivy-predzahradka-pivnica-samostatny-vchod-r6523969.html,Bratislava II
6523956,129900,65,22.6.2018,1998,Lietavská,3,https://www.topreality.sk/na-predaj-3-izbovy-byt-s-loggiou-v-petrzalke-r6523956.html,Bratislava V
6523814,199e3,85,22.6.2018,2341,Bajzova,3,https://www.topreality.sk/ponukame-na-predaj-3-izbovy-byt-po-kompletnej-rekonstrukcii-na-bajzovej-ulici-v-ruzinove-r6523814.html,Bratislava II
6523772,129e3,24,22.6.2018,5375,Lermontovova,1,https://www.topreality.sk/stylova-garzonka-na-palisadach-r6523772.html,Bratislava I
6523660,152e3,55,22.6.2018,2763,Pribišova,2,https://www.topreality.sk/predaj-2-izboveho-bytu-po-kompletnej-rekonstrukcii-r6523660.html,Bratislava IV
6523611,135e3,56,22.6.2018,2410,Rača (Bratislava III),2,https://www.topreality.sk/2-izbovy-slnecny-byt-v-krasnanoch-r6523611.html,Bratislava III
6523028,189e3,93,21.6.2018,2032,Kovácsova,3,https://www.topreality.sk/3-izbovy-byt-s-garazou-plocha-s-pivnicami-93-81m2-r6523028.html,Bratislava V
6522439,147e3,55,21.6.2018,2672,Pri strelnici,2,https://www.topreality.sk/ponukame-na-predaj-krasny-zariadeny-2-izbovy-byt-v-novostavbe-pri-strelnici-v-ruzinove-r6522439.html,Bratislava II
6522145,147900,68,21.6.2018,2175,Pavla Horova,3,https://www.topreality.sk/ponukame-na-predaj-3-izbovy-byt-na-pavla-horova-v-devinskej-novej-vsi-r6522145.html,Bratislava IV
